Word,Count,Sense,Definition,Example 1,Example 2
embrace,7,,"hold (someone) tightly in your arms, usually with fondness","Hug me, please",They embraced
embrace,7,,include in scope,include as part of something broader,have as one's sphere or territory
embroil,7,,"force into some kind of situation, condition, or course of action",They were swept up by the events,don't drag me into this business
emit,4,,"give off, send forth, or discharge","as of light, heat, or radiation, vapor, etc.",The ozone layer blocks some harmful rays which the sun emits
empanel,7,,select from a list,empanel prospective jurors,
empty,5,,make void or empty of contents,Empty the box,The alarm emptied the building
emulate,7,,compete with successfully,approach or reach equality with,This artist's drawings cannot emulate his water colors
enable,6,,render capable or able for some task,This skill will enable you to find a job on Wall Street,The rope enables you to secure yourself when you climb the mountain
enact,5,,act out,represent or perform as if in a play,She reenacted what had happened earlier that day
encapsulate,11,,put in a short or concise form,reduce in volume,capsulize the news
enclose,7,,surround completely,Darkness enclosed him,They closed in the porch with a fence
end,3,terminate |,bring to an end or halt,She ended their friendship when she found out that he had once been convicted of a crime,The attack on Poland terminated the relatively peaceful period after WW I
end,3,,"have an end, in a temporal, spatial, or quantitative sense",either spatial or metaphorical,the bronchioles terminate in a capillary bed
end,3,terminate |,be the end of,be the last or concluding part of,This sad scene ended the movie
endanger,8,,pose a threat to,present a danger to,The pollution is endangering the crops
enforce,7,impose,compel to behave in a certain way,Social relations impose courtesy,duty constrains one to act often contrary to one's desires or inclinations
engage,6,,ask to represent,of legal counsel,I'm retaining a lawyer
engrave,7,,,carve or cut into a block used for printing or print from such a block,engrave a letter
engrave,7,,impress or affect deeply,The event engraved itself into her memory,
enhance,7,,increase,This will enhance your enjoyment,heighten the tension
enhance,7,,make better or more attractive,This sauce will enhance the flavor of the meat,
enjoy,5,,derive or receive pleasure from,get enjoyment from,take pleasure in
enjoy,5,,have for one's benefit,The industry enjoyed a boom,
enrich,6,,make better or improve in quality,The experience enriched her understanding,enriched foods
ensnare,7,,take or catch as if in a snare or trap,I was set up,The innocent man was framed by the police
enter,5,,become a participant,be involved in,enter a race
enthrone,8,,put a monarch on the throne,The Queen was enthroned more than  years ago,
entrance,8,,put into a trance,,
entrust,7,,confer a trust upon,The messenger was entrusted with the general's secret,I commit my soul to God
entrust,7,leave |,put into the care or protection of someone,He left the decision to his deputy,leave your child in the nurse's care
enumerate,9,,specify individually,She enumerated the many obstacles she had encountered,The doctor recited the list of possible side effects of the drug
envision,8,foresee,picture to oneself,imagine possible,I cannot envision him as President
equal,5,,"make equal, uniform, corresponding, or matching",let's equalize the duties among all employees in this office,The company matched the discount policy of its competitors
equal,5,touch | rival,be equal to in quality or ability,Nothing can rival cotton for durability,Your performance doesn't even touch that of your colleagues
erase,5,,,wipe out digitally or magnetically recorded information,Who erased the files from my hard disk?
erupt,5,irrupt | flare up,erupt or intensify suddenly,Unrest erupted in the country,Tempers flared at the meeting
erupt,5,recrudesce,become raw or open,He broke out in hives,My skin breaks out when I eat strawberries
erupt,5,,start to burn or burst into flames,Marsh gases ignited suddenly,The oily rags combusted spontaneously
escape,6,,"remove oneself from a familiar environment, usually for pleasure or diversion",We escaped to our summer house for a few days,The president of the company never manages to get away during the summer
espouse,7,,"take up the cause, ideology, practice, method, of someone and use it as one's own",She embraced Catholicism,They adopted the Jewish faith
establish,9,base,use as a basis for,found on,base a claim on some observation
estivate,8,,sleep during summer,certain animals estivate,
etch,4,,,make an etching of,He etched her image into the surface
etch,4,,cause to stand out or be clearly defined or visible,a face etched with pain,the leafless branches etched against the sky
etherify,8,,,change into an ether,etherify an alcohol
etherize,8,,anesthetize with ether,,
etymologize,11,,give the etymology or derivation or suggest an etymology (for a word),The linguist probably etymologized the words incorrectly,"Although he is not trained in this, his hobby is etymologizing"
evaluate,8,pass judgment,form a critical opinion of,I cannot judge some works of modern art,How do you evaluate this grant proposal?
evert,5,,turn inside out,turn the inner surface of outward,evert the eyelid
eviscerate,10,,,remove the contents of,eviscerate the stomach
examine,7,,"observe, check out, and look over carefully or inspect",The customs agent examined the baggage,I must see your passport before you can enter the country
excavate,8,,form by hollowing,Carnegie had a lake excavated for Princeton University's rowing team,excavate a cavity
excavate,8,,recover through digging,Schliemann excavated Troy,excavate gold
exceed,6,,be superior or better than some standard,She exceeded our expectations,She topped her performance of last year
exchange,8,,"give to, and receive from, one another",Would you change places with me?,We have been exchanging letters for a year
exchange,8,,"hand over one and receive another, approximately equivalent",exchange prisoners,exchange employees between branches of the company
exclaim,7,,utter aloud,"often with surprise, horror, or joy",`I won!' he exclaimed
exclude,7,except,prevent from being included or considered or accepted,The bad results were excluded from the report,Leave off the top piece
exclude,7,,prevent from entering,shut out,The trees were shutting out all sunlight
excuse,6,condone,"excuse, overlook, or make allowances for",be lenient with,excuse someone's behavior
excuse,6,explain |,serve as a reason or cause or justification of,Your need to sleep late does not excuse your late arrival at work,Her recent divorce may explain her reluctance to date again
exercise,8,work,give a workout to,Some parents exercise their infants,My personal trainer works me hard
exfoliate,9,,grow by producing or unfolding leaves,plants exfoliate,
exhale,6,,expel air,Exhale when you lift the weight,
exhale,6,give forth,give out (breath or an odor),The chimney exhales a thick smoke,
exhaust,7,,wear out completely,This kind of work exhausts me,I'm beat
exhaust,7,discharge,eliminate (a substance),combustion products are exhausted in the engine,the plant releases a gas
